# Nomenclature CCAM consolidée à partir de trois sources officielles : (1) chapitres 1 à 19 de la CCAM descriptive publiés par l'ATIH (https://www.atih.sante.fr/sites/default/files/public/content/1621/Chapitre_N.pdf) ; (2) jeu de données « CCAM Ameli » (data.gouv.fr / InterHop : actes tarifés en libéral) ; (3) libellés abrégés des listes d'actes du Manuel des GHM 2025. Union des actes : un acte absent d'une source reste présent si une autre le porte.
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Les libellés sont repris verbatim de la source indiquée (source_libelle) : la casse diffère donc selon la source.
# chapitre_ccam : 1 à 19 ; 18 = gestes complémentaires et d'anesthésie, 19 = adaptations pour la CCAM transitoire (forfaits).
code;libelle;source_libelle;chapitre_ccam;dans_ameli;dans_atih;dans_annexe8
AAQN902;Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI];CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
AAQN903;Spectroscopie par résonance magnétique cérébrale du phosphore;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
AAQP002;électroencéphalographie continue ambulatoire sur 8 dérivations ou plus, pendant au moins 24 heures [Holter EEG];CCAM Ameli (data.gouv.fr);1;oui;oui;oui
AAQP003;Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
AAQP004;Surveillance électroencéphalographique peropératoire sur au moins 8 dérivations, pendant moins de 4 heures;CCAM descriptive (ATIH, chapitres 1 a 19);18;non;oui;non
AAQP005;Surveillance électrocorticographique peropératoire de l'activité encéphalique spontanée et/ou provoquée;CCAM descriptive (ATIH, chapitres 1 a 19);18;non;oui;non
AAQP006;électroencéphalographie de longue durée de 1 à 4 heures sur 8 dérivation ou plus, avec enregistrement vidéo;CCAM Ameli (data.gouv.fr);1;oui;oui;non
AAQP007;électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo;CCAM Ameli (data.gouv.fr);1;oui;oui;non
AAQP008;Surveillance électroencéphalographique peropératoire sur au moins 8 dérivations, pendant 4 heures ou plus;CCAM descriptive (ATIH, chapitres 1 a 19);18;non;oui;non
AAQP009;Électroencéphalographie avec quantification, sur au moins 32 dérivations;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
AAQP010;électroencéphalographie de longue durée de plus de 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
AAQP011;Électroencéphalographie sur au moins 8 dérivations avec enregistrement d'une durée minimale de 20 minutes, au lit du malade;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
AAQP012;Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
AAQP013;Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
AAQP900;Électroencéphalographie avec modélisation de sources, sur au moins 32 dérivations 01.01.01.05 Surveillances électrocorticographique et électroencéphalographique;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
ABCA001;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABCA002;Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABCA003;Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABCA004;Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABCB001;Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABCC001;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFA001;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFA002;Exérèse de lésion du troisième ventricule, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
ABFA003;Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
