# Fichiers officiels ATIH — Manuel des GHM, version 2025 : annexe 8 (actes classants), annexe 11 (actes mineurs reclassant en GHM médical) et volume 2 par CMD (listes d'actes rattachées aux racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Une ligne par acte classant. racines_ghm = racines dans lesquelles l'acte est classant (volume 2) ; cmds_classantes = CMD de l'annexe 8.
# libelle_ghm = libellé abrégé employé par le manuel (les libellés complets relèvent de la CCAM, voir data/ccam-complete-2025.csv).
code_ccam;racines_ghm;cmds_classantes;reclassant_ghm_medical;libelle_ghm
ABFA005;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE LÉS. 1VENTR. LAT. CÉRÉB. CRANIOT.
ABFA006;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE LÉS. 4E VENTR. CRANIOT.
ABFA007;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;EXÉRÈSE 1FISTULE DERMIQUE +PROLONGT INTRADURAL
ABFA008;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE T. TENTE CERVELET CRANIOT.
ABFA009;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE T. INCISURE TENTE CRANIOT. SUSTENTORIELLE
ABFA010;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE T. FAUX CERVEAU CRANIOT.
ABFC001;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE LÉS. V3VIDÉOCHIR INTRACRÂN.
ABFC002;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE LÉS. 1VENTR. LAT. CÉRÉB. VIDÉOCHIR
ABGA001;01C03 01C04 01C11 01C12 21C05;01 21;non;ABL. 1CAPTEUR P.I.C
ABGA002;01C08 21C05;01 21;non;ABL. 1DÉRIV. INT. LCS INTRACRÂN. AB. DIRECT
ABGA003;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;ABL. 1SYST. DIFFUSEUR IMPLANTÉ +CATHÉ.
ABJA001;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. 1HÉMORR. VENTR. CÉRÉB. CRANIOT.
ABJA002;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. 1HÉMATOME SUBDURAL AIG. CRANIOT.
ABJA003;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. 1HÉMATOME SUBDURAL CHRON. UNILAT. CRANIOT.
ABJA004;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. 1HED INFRATENTORIEL CRANIOT.
ABJA005;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. 1HED SUPRATENTORIEL CRANIOT.
ABJA006;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. 1HÉMATOME SUBDURAL CHRON. BILAT. CRANIOT.
ABJA007;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. 1HED PLURIFOCAL SUPRATENTORIEL +/-
ABJA008;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. 1EMPYÈME INTRACRÂN. EXTRACÉRÉBRAL CRANIOT.
ABJC900;01C03 01C04 01C11 01C12;01;non;ÉVAC. 1HÉMORR. VENTR. CÉRÉB. NON TRAUMA
ABLA001;01C03 01C04 01C11 01C12 17C07;01 17;non;POSE CATHÉ VENTR/INTRAKYSTIQ CÉRÉB. TRANSCRÂN.
