# Fichiers officiels ATIH — Manuel des GHM, version 2025 : annexe 8 (actes classants), annexe 11 (actes mineurs reclassant en GHM médical) et volume 2 par CMD (listes d'actes rattachées aux racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Une ligne par acte classant. racines_ghm = racines dans lesquelles l'acte est classant (volume 2) ; cmds_classantes = CMD de l'annexe 8.
# libelle_ghm = libellé abrégé employé par le manuel (les libellés complets relèvent de la CCAM, voir data/ccam-complete-2025.csv).
code_ccam;racines_ghm;cmds_classantes;reclassant_ghm_medical;libelle_ghm
EDLA001;05C18 07C08 17C07;05 07 17;non;IMPLANT. DIFFUSEUR SSCUT+CATHÉ. RELIÉ 1BRANCHE ART
EDLF004;05K05 05K06;05;non;STENT COUVERT DS ILIAQ COM+/-EXT. +EMBOL. ART. ILIAQ
EDLF005;05K05 05K06;05;non;ENDOPROTHÈSE COUVERTE DS ILIAQ VOIE ART
EDLF006;05K05 05K06;05;non;STENT COUVERTE DS 1ART. DIG. CATHÉ ART.
EDLF007;05K05 05K06;05;non;STENT COUVERT ART. ILIAQ INT/1BRANCHE EXTRADIG.
EDLF008;05K05 05K06;05;non;STENT COUVERTE DS PLUS. ART. DIG. CATHÉ ART.
EDLF013;05K05 05K06;05;non;STENT COUVERTE DS ART. RÉNALE CATHÉ ART.
EDLF014;05K12 05K22 05K23 05K24 05K25 05K26;05;non;CHIMIO INTRAHÉP. H.SÉLECT NON ISOTOP. SANS EMBOL.
EDLF015;05K12 05K22 05K23 05K24 05K25 05K26;05;non;CHIMIO INTRAHÉP. S.SÉLECT NON ISOTOP. SANS EMBOL.
EDLF016;05K12 05K22 05K23 05K24 05K25 05K26 07K06;05 07;non;CHIMIO INTRAHÉP. S.SÉLECT NON ISOTOP. +EMBOL.
EDLF017;05K12 05K22 05K23 05K24 05K25 05K26 07K06;05 07;non;CHIMIO INTRAHÉP. H.SÉLECT NON ISOTOP. +EMBOL.
EDLF018;05K12 05K22 05K23 05K24 05K25 05K26;05;non;CHIMIO ART. RÉNALE SUP.SÉLECT +EMBOL. PARTICULES
EDLF019;05K12 05K22 05K23 05K24 05K25 05K26;05;non;CHIMIO IN SITU ART RÉNALE H.SÉLECT +EMBOL.CATHÉ ART.
EDLF020;05K12 05K22 05K23 05K24 05K25 05K26;05;non;CHIMIO IN SITU H.SÉLECT ART. RÉNALE SANS EMBOL. CATHÉ
EDLF021;05K12 05K22 05K23 05K24 05K25 05K26;05;non;CHIMIO  IN SITU SUP.SÉLECT ART. RÉNALE SANS EMBOL. CATHÉ
EDLL001;05K12 05K22 05K23 05K24 05K25 05K26 17K09 28Z10;05 17 28;non;INJ. ART. HÉP. IN SITU ISOTOP. +EMBOL. PARTICULES CATHÉ
EDLL002;05K12 05K22 05K23 05K24 05K25 05K26 17K09 28Z10;05 17 28;non;INJ. ART. HÉP. IN SITU ISOTOP. SANS EMBOL. PARTICULES
EDMA001;05C06 05C10 05C11 11C08 17C06 21C05;05 11 17 21;non;REVASC. ART. RÉNALE À PARTIR 1ART. DIG.
EDMA003;05C06 05C10 05C11 11C08 17C06 21C05;05 11 17 21;non;REVASC. DES BRANCHES ART. RÉNALE SUR REIN IN SITU
EDMA004;05C06 05C10 05C11 11C08 17C06 21C05;05 11 17 21;non;RÉPAR. ART. RÉNALE+/-BRANCHES REIN EX SITU +GREF.
EDNF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;FIBRINOLYSE IN SITU SUP.SÉLECT ART. RÉNALE CATHÉ ART.
EDNF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;FIBRINOLYSE IN SITU SÉLECT/H.SÉLECT ART. RÉNALE CATHÉ
EDNF003;05K12 05K22 05K23 05K24 05K25 05K26;05;non;FIBRINOLYSE IN SITU 1ART. DIG. CATHÉ ART.
EDPA001;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;CHIR ANÉVR. ILIAQ +CHANGT PROTH ILIO-ILIAQ/ILLIOFÉM.
EDPA002;05C06 05C10 05C11 06C21 17C06 21C05;05 06 17 21;non;LIBÉR. 1ART. DIG. LAPARO
EDPA005;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;CHIR ANÉVR. ILIAQ +CHANGT PROTH
EDPF001;05K05 05K06;05;non;RECANALISATION ART. ILIAQ INT. +STENT CATHÉ ART.
EDPF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;RECANALISATION ART. RÉNALE SANS STENT CATHÉ ART.
EDPF003;05K12 05K22 05K23 05K24 05K25 05K26;05;non;RECANALISATION 1ART. DIG. SANS STENT CATHÉ ART.
EDPF004;05K05 05K06;05;non;RECANALISATION 1ART. DIG. +STENT CATHÉ ART.
EDPF005;05K05 05K06;05;non;RECANALISATION ART. RÉNALE +STENT CATHÉ ART.
EDPF006;05K05 05K06;05;non;RECANALISATION ILIAQ COM. +/-EXT. +STENT COUVERTE
EDPF007;05K12 05K22 05K23 05K24 05K25 05K26;05;non;RECANALISATION ART. ILIAQ INT. SANS STENT CATHÉ ART.
EDPF008;05K12 05K22 05K23 05K24 05K25 05K26;05;non;RECANALISATION ILIAQ COM. +/-EXT. SANS STENT CATHÉ ART.
EDPF009;05K05 05K06;05;non;RECANALISATION ILIAQ COM. +/-EXT. +STENT CATHÉ ART.
EDSA001;05C06 05C10 05C11 06C21 17C06 21C05;05 06 17 21;non;LIGATURE 1ART. DIG. LAPARO
EDSA002;17C06;17;non;LIGATURE DES ART. ILIAQUES INT. PR HÉMORR. POST-PARTUM
EDSA003;05C06 05C10 05C11 06C21 17C06 21C05;05 06 17 21;non;LIGATURE DES ART. ILIAQUES INT. LAPARO
EDSD011;06C19 17C07;06 17;oui;LIGATURE ARTÈRES HÉMORROÏD + GUIDAGE DOPPLER, +
EDSF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OBLITÉRATION SUP.SÉLECT PLUS. ANÉVR. SACCULAIRES ART.
EDSF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OBLITÉRATION H.SÉLECT ANÉVR. ILIAQ INT/1BRANCHE
EDSF003;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SÉLECT/H.SÉLECT ART. RÉNALE CATHÉ ART.
EDSF004;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SUP.SÉLECT BRANCHE ART. ILIAQ INT/EXTRADIG. AORT
EDSF005;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SÉLECT/H.SÉLECT 1ART. DIG. CATHÉ ART.
EDSF006;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SUP.SÉLECT 1ART. DIG. CATHÉ ART.
EDSF007;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OBLITÉRATION SÉLECT/H.SÉLECT 1ANÉVR. SACCULAIRE ART.
EDSF008;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SUP.SÉLECT ART. RÉNALE CATHÉ ART.
EDSF009;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OBLITÉRATION SUP.SÉLECT 1ANÉVR. SACCULAIRE 1ART. DIG.
EDSF010;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OBLITÉRATION CATHÉ ART. SUP.SÉLECT ANÉVR. ILIAQ
EDSF011;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL ART ILIAQ INT+/-BRANCHES PR HÉMORR. POST-PARTUM
EDSF012;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. H.SÉLECT PLUS. ART. DIG. CATHÉ ART.
EDSF013;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OBLITÉRATION SUP.SÉLECT 1ANÉVR. SACCULAIRE ART. RÉNALE
EDSF014;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. H.SÉLECT PLUS. BRANCHES ILIAQ INT/EXTRADIG AORT.
EDSF015;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SUP.SÉLECT PLUS. ART. DIG. CATHÉ ART.
EDSF016;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL H.SÉLECT ILIAQ INT/BRANCHE EXTRADIG. AORT. ABD.
EDSF618;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOLISATION HYPERSÉLECTIVE ARTÈRES PROSTATIQUES,
EEAA002;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;ANGIO.PLAST ÉLARGT 1PONTAGE ART. MB INF. AB. DIRECT
EEAF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. INTRALUMINALE PLUS. ART. MB INF. SANS STENT CATHÉ
EEAF002;05K05 05K06;05;non;DILAT. CATHÉ+ STENT 1ART. MB INF. +ILIAQ COM+/-EXT.
EEAF003;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. INTRALUMINALE 1ART. MB INF. SANS STENT CATHÉ ART.
EEAF004;05K05 05K06;05;non;DILAT. INTRALUMINALE 1ART. MB INF. +STENT CATHÉ ART.
EEAF005;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. 1ART. MB INF. +ILIAQ COM+/-EXT. HOMOLAT. SANS STENT
EEAF006;05K05 05K06;05;non;DILAT. INTRALUMINALE PLUS. ART. MB INF. +STENT CATHÉ
EECA001;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;PONTAGE ART. FÉM.POP AU-DESSUS INTERLIGNE ARTIC.
EECA002;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;PONTAGE ART. FÉM.FÉM HOMOLAT. AB. DIRECT
EECA003;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;PONTAGE ART. FÉM.POP AU-DESSOUS INTERLIGNE ARTIC.
EECA005;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;PONTAGE 1ART. PIED AB. DIRECT
EECA006;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;PONTAGE ART. SUBCLAVIOFÉMORAL/AXIL.BIFÉM AB.
EECA007;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;PONTAGE ART. SUBCLAVIOFÉMORAL/AXIL.FÉM AB. DIRECT
EECA008;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;PONTAGE ART. FÉM.TIB/FÉM.PÉRON SANS COLLIER VN AB.
EECA009;05C18 10C08 17C07 21C05;05 10 17 21;non;SUTURE ART. MB INF. AB. DIRECT
EECA010;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;PONTAGE ART. FÉM.TIB/FÉM.PÉRON +COLLIER VN AB.
EECA012;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;PONTAGE MULT. ÉTAGÉ/BIFURQUÉ DES ART. DES MB INF.
EEFA001;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;THROMBO.ECTOMIE ART. FÉM. +/- SES BRANCHES AB.
EEFA002;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;THROMBECTOMIE ART. MB INF. AB. POPLITÉ
EEFA003;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;THROMBO.ECTOMIE ART. POPLITÉE AB. DIRECT
EEFA004;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;THROMBECTOMIE ART. MB INF. AB. INGUINOFÉMORAL
EEFA005;05C06 05C10 05C11 10C08 17C07 21C05;05 10 17 21;non;RÉSEC. 1KYSTE ADVENTICIEL 1ART. MB INF. AB. DIRECT
EEFA006;05C06 05C10 05C11 10C08 17C07 21C05;05 10 17 21;non;RÉSEC.ANAST 1ART. MB INF. AB. DIRECT
EEGA001;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;ABL. 1PROTH. ART. MB INF. SANS REVASC. AB. DIRECT
EEGA002;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;ABL. 1PROTH. ART. MB INF. +REVASC. AB. DIRECT
EEJF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;THROMBOASPIRATION ART/PONTAGE ART. MB INF. CATHÉ ART.
EEKA001;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;REMPLT/MISE À PLAT 1ART. MB INF. AB. DIRECT
EELF002;05K05 05K06;05;non;STENT COUVERTE DS 1ART. MB INF. CATHÉ ART.
EELF004;05K12 05K22 05K23 05K24 05K25 05K26;05;non;INJ. ART. IN SITU SUP.SÉLECT CHIMIO AU MB INF. CATHÉ ART.
EELF005;05K12 05K22 05K23 05K24 05K25 05K26;05;non;INJ. ART. IN SITU SÉLECT/H.SÉLECT CHIMIO AU MB INF. CATHÉ
EENF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;FIBRINOLYSE IN SITU SUP.SÉLECT 1ART/1PONTAGE ART. MB INF.
EENF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;FIBRINOLYSE CATHÉ ART H.SÉLECT 1ART/1PONTAGE ART. MB
EEPF001;05K05 05K06;05;non;RECANALISATION 1ART. MB INF. +STENT CATHÉ ART.
EEPF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;RECANALISATION 1ART. MB INF. SANS STENT CATHÉ ART.
EESA001;05C06 05C10 05C11 10C08 17C07 21C05;05 10 17 21;non;LIGATURE 1ART. CUISSE/JAMBE AB. DIRECT
EESF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OBLITÉRATION 1ANÉVR. SACCULAIRE ART. MB INF. CATHÉ ART.
EESF004;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. H.SÉLECT PLUS. ART. MB INF. CATHÉ ART.
EESF005;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OBLITÉRATION PLUS. ANÉVR. SACCULAIRES ART. MB INF. CATHÉ
EESF006;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SUP.SÉLECT 1ART. MB INF. CATHÉ ART.
EESF007;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SÉLECT/H.SÉLECT 1ART. MB INF. CATHÉ ART.
EFAF001;05K05 05K06;05;non;DILAT. INTRALUMINALE 1VN MB SUP. +STENT V.V
EFAF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. INTRALUMINALE 1VN MB SUP. SANS STENT V.V
EFCA001;05C17 21C05;05 21;non;SUTURE VN PROF. MB SUP/COU AB. DIRECT
EFCA002;05C17 21C05;05 21;non;SUTURE VN SUPERF. DES MB/COU AB. DIRECT
EFFA001;01C08 03C16 03C17 03C29 05C17 21C05;01 03 05 21;non;RÉSEC/LIGATURE 1VN PROF. MB SUP/COU AB. DIRECT
EFFA002;04C02 05C18 21C05;04 05 21;non;RÉSEC. VN BRACHIOCÉPHALIQUE THOR.TOMIE
EFJF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;THROMBOASPIRATION VN S.CLAV. +/- VN BRACHIOCÉPHALIQUE
EFLF001;05K05 05K06;05;non;STENT COUVERTE DS 1VN MB SUP. V.V
EFNF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;FIBRINOLYSE IN SITU VN S.CLAV. +/- VN BRACHIOCÉPHALIQUE
EFPF001;05K05 05K06;05;non;RECANALISATION 1VN MB SUP. +STENT V.V
EFPF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;RECANALISATION 1VN MB SUP. SANS STENT V.V
EFSA001;05C17 11C08 21C05;05 11 21;non;LIGATURE VN SUPERF. DES MB/COU AB. DIRECT
EGAF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. INTRALUMINALE VN RÉNALE SANS STENT V.V
EGAF002;05K05 05K06;05;non;DILAT. INTRALUMINALE VN ILIAQ EXT. +/- VN ILIAQ
EGAF003;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. INTRALUMINALE VN ILIAQ EXT. +/- VN ILIAQ COMMUNE
EGAF004;05K05 05K06;05;non;DILAT. INTRALUMINALE VN RÉNALE +STENT V.V
EGCA002;05C18 10C08 11C08 17C07 21C05;05 10 11 17 21;non;SUTURE TR/BRANCHES VISCÉRALES VN ILIAQ +/- VCI
EGCA003;05C10 05C18 10C08 17C06 21C05;05 10 17 21;non;PONTAGE VN FÉM.ILIAQ HOMOLAT. FÉMOROCAVE/FÉM.RÉN
EGCA004;12C03 17C06;12 17;non;ANAST. SAPHÉNOCAVERNEUSE
EGED001;06C19;06;oui;RÉDUC PROCIDENCE HEMMOR INT PAR AGRAF CIRCUL V.
EGFA001;06C19;06;oui;HÉMORROÏDECTOMIE PÉD. SEMIFERMÉE/FERMÉE
EGFA002;06C19;06;oui;HÉMORROÏDECTOMIE PÉD. SSMUQ +ANOPLAST. POST.
EGFA003;06C19;06;oui;HÉMORROÏDECTOMIE PÉD. SSMUQ
EGFA004;05C18 21C05;05 21;non;THROMBECTOMIE VN FÉM.ILIAQ AB. FÉM.
EGFA005;06C19;06;oui;RÉSEC. 1PAQUET HÉMORROÏDAIRE ISOLÉ
EGFA006;05C17 21C05;05 21;non;RÉSEC. VN FÉM. +/- VN ILIAQ +RECONSTR. AB. DIRECT
EGFA007;06C19;06;oui;EXCISION 1THROMBOSE HÉMORROÏDAIRE
EGFA008;12C05 12C06 12C07;12;non;RÉSEC/LIGATURE VN TESTICULAIRE AB. DIRECT +EMBOL. IV
EGFA009;05C17 21C05;05 21;non;RÉSEC. VN FÉM. +/- VN ILIAQ SANS RECONSTR. AB. DIRECT
EGFA010;12C05 12C06 12C07;12;non;RÉSEC/LIGATURE VN TESTICULAIRE AB. DIRECT
EGFC001;12C05 12C06 12C07;12;non;RÉSEC/LIGATURE VN TESTICULAIRE COELIO.
EGJA001;06C19;06;oui;ÉVAC. 1THROMBOSE HÉMORROÏDAIRE EXT.
EGJF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;THROMBOASPIRATION VN RÉNALE V.V
EGJF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;THROMBOASPIRATION VN ILIAQ EXT. +/- VN ILIAQ COMMUNE V.V
EGNF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;FIBRINOLYSE IN SITU VN RÉNALE V.V
EGNF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;FIBRINOLYSE IN SITU VN ILIAQ EXT. +/- VN ILIAQ COMMUNE V.V
EGPA001;05C18 10C08 17C07 21C05;05 10 17 21;non;DÉCOMPR. VN ILIAQ LAPARO
EGPF001;05K05 05K06;05;non;RECANALISATION VN ILIAQ EXT. +/- VN ILIAQ COMMUNE
EGSA001;12C05 12C06 12C07;12;non;INTERRUPTION DES VN DRAINAGE PÉNIS AB. DIRECT
EGSA002;12C05 12C06 12C07;12;non;LIGATURE PLEXUS PAMPINIFORME/VN TESTICULAIRE AB.
EGSF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SUP.SÉLECT VN TESTICULAIRE/OVARIQUE V.V
EGSF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. SÉLECT/H.SÉLECT VN TESTICULAIRE/OVARIQUE V.V
EHAA001;05C18 06C05 06C16 06C20 06C22 07C09 07C10;05 06 07;non;RECALIBRAGE 1ANAST. PORTOCAVE LAPARO
EHAF001;05K05 05K06;05;non;DILAT. INTRALUMINALE VN PORTE/1ANAST. PORTOCAVE
EHAF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. INTRALUMINALE VN PORTE/1ANAST. PORTOCAVE
EHAF003;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. INTRALUMINALE VN HÉP. SANS STENT V.V
EHAF004;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. STENT INTRAHÉP. PR SHUNT PORTOSYSTÉMIQUE
EHCA001;05C18 06C05 06C16 06C20 06C22 07C09 07C10;05 06 07;non;PONTAGE VN MÉSENTÉRICOATRIAL THOR.TOMIE +LAPARO
EHCA002;05C18 06C05 06C16 06C20 06C22 07C09 07C10;05 06 07;non;ANAST. VN SPLÉNORÉNALE DIST. SÉLECT. +DÉCONNEXION
EHCA003;05C18 06C05 06C16 06C20 06C22 07C09 07C10 17C06;05 06 07 17;non;ANAST. PORTOCAVE TRONCULAIRE/PORTORÉNALE
EHCA004;05C18 06C05 06C16 06C20 06C22 07C09 07C10 17C06;05 06 07 17;non;ANAST. VN SPLÉNORÉNALE DIST. SÉLECT. SANS
EHCA005;05C18 06C05 06C16 06C20 06C22 07C09 07C10 17C06;05 06 07 17;non;ANAST. 1BRANCHE PORTE-VCI SAUF SPLÉNIQ/MÉSENT. SUP
EHCA006;05C18 06C05 06C16 06C20 06C22 07C09 07C10 17C06;05 06 07 17;non;ANAST. MÉSENTÉRICOCAVE INF. LAPARO
EHCA007;05C18 06C05 06C16 06C20 06C22 07C09 07C10;05 06 07;non;ANAST. VN SPLÉNORÉNALE CTR +SPLÉNECTOMIE LAPARO
EHCA008;05C18 06C21 07C09 07C10 17C06 21C05;05 06 07 17 21;non;SUTURE VN PORTE +/- 1SES BRANCHES PPAL LAPARO
EHCA009;05C18 06C05 06C16 06C20 06C22 07C09 07C10 17C06;05 06 07 17;non;ANAST. MÉSENTÉRICO-ILIO-CAVE LAPARO
EHCA010;05C18 06C05 06C16 06C20 06C22 07C09 07C10 17C06;05 06 07 17;non;ANAST. ENTRE 1BRANCHE SYST. PORTE +SYST. CAVE SUP.
EHCF002;05K05 05K06;05;non;CRÉATION 1COURT-CIRCUIT PORTOSYSTÉMIQUE
EHFA001;05C18 06C21 07C09 07C10 17C06 21C05;05 06 07 17 21;non;THROMBECTOMIE VN PORTE +/- 1SES AFFLUENTS PPAUX
EHLA001;05C18 07C08;05 07;non;IMPLANT. DIFFUSEUR SSCUT. +CATHÉ. RELIÉ À 1BRANCHE
EHNE001;06K02 06K03;06;non;SÉANCE SCLÉROSE+/-LIGATURE VO SF HÉMORR. ENDOS.
EHNE002;06K02 06K03;06;non;SCLÉROSE +/- LIGATURE VARICES OESOGASTR. PÉRIODE
EHNF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;FIBRINOLYSE IN SITU VN PORTE +/-AFFLUENTS/1SHUNT
EHPF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;RECANALISATION 1SHUNT PORTOSYSTÉMIQUE V.V
EHSF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL VARICES OESOGASTR/BRANCH INTRAHÉP VN
EJBA001;05C17 21C05;05 21;non;INTERPOSITION 1SEGT VN VALVULÉ SUR VN POPLITÉE/VN
EJCA001;05C17 21C05;05 21;non;SUTURE VN PROF. JAMBE +/- CUISSE AB. DIRECT
EJCA002;05C10 05C18 10C08 17C06 21C05;05 10 17 21;non;PONTAGE VN POPLITÉ-FÉMORAL AB. DIRECT
EJCA003;05C10 05C18 10C08 17C06 21C05;05 10 17 21;non;PONTAGE VN CROISÉ FÉM.FÉM/FÉM.ILIAQ AB. DIRECT
EJEA001;05C10 05C18 10C08 21C05;05 10 21;non;RÉIMPLANT. VN FÉM. DS VN GDE SAPHÈNE/DS VN PROF.
EJFA002;05C17;05;non;EXÉRÈSES MULT. BRANCHES SAPHÈNE +AG/ALR AB.
EJFA004;05C17;05;non;EXÉRÈSE CROSSE PT VN SAPHÈNE AB. DIRECT
EJFA006;05C17;05;non;EXÉRÈSE IIRE CROSSE GDE VN SAPHÈNE/PT VN SAPHÈNE
EJFA007;05C17;05;non;EXÉRÈSE CROSSE GDE VN SAPHÈNE AB. DIRECT
EJFA008;05C17;05;non;EXÉRÈSE GDE VN SAPHÈNE SANS EXÉRÈSE CROSSE AB.
EJFA009;05C17;05;non;EXÉRÈSE PT VN SAPHÈNE SANS EXÉRÈSE CROSSE AB. DIRECTS
EJGA001;05C17;05;non;EXTR. PT VN SAPHÈNE AB. DIRECT
EJGA002;05C17;05;non;EXTR. GDE VN SAPHÈNE AB. DIRECT
EJGA003;05C17;05;non;EXTR. GDE VN SAPHÈNE +PT VN SAPHÈNE AB. DIRECT
EJMA900;05C17 17C07;05 17;non;VALVULOPLASTIE VN PROF. MB INF. AB. DIRECT
EJMA901;05C17;05;non;VALVULOPLASTIE VN SUPERF. MB INF. AB. DIRECT
EJSA001;05C17;05;non;LIGATURE PLUS. VN PERFO. MB INF. AB. DIRECT
EJSA003;05C17 21C05;05 21;non;LIGATURE 1VN PROF. MB INF. AB. DIRECT
EJSC001;05C17;05;non;LIGATURE VN PERFO. MB INF. VIDÉOCHIRURGIE
EJSF008;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OCCLUS GDE VN SAPHÈNE AU DESSUS 1/3 MOYEN JAMBE
EJSF032;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OCCLUS GDE VN SAPHÈNE RADIOFRÉQ V.V + ÉCHO &
EJSF418;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OCCLUS GDE VN SAPHÈNE LASER V.V + ÉCHO & PHLEB
EJSF466;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OCCLUS GDE VN SAPHÈNE AU DESSUS 1/3 MOYEN JAMBE
EJSF475;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OCCLUS PETITE VN SAPHÈNE AU DESSUS 1/3 INF JAMBE
EJSF771;05K12 05K22 05K23 05K24 05K25 05K26;05;non;OCCLUS PETIT VN SAPHÈN LASER V.V + ÉCHO & PHLEB
EKLA001;05C21 10C08 11C09 21C05;05 10 11 21;non;POSE 1DÉRIV. ART.VN AU MB SUP. AB. DIRECT
EKSA001;05C18;05;non;FERM. FAV TRAUMA MB SUP. +RECONSTR. AXE ART. AB.
EKSA002;05C18;05;non;FERM. FAV TRAUMA MB SUP. SANS RECONSTR. VASC. AB.
ELCA003;05C06 05C10 05C11 12C03 21C05;05 12 21;non;ANAST. ENTRE ART/VN DORSALE PÉNIS +ART. FÉM. AB.
ELCA004;05C06 05C10 05C11 12C03 17C07 21C05;05 12 17 21;non;ANAST. ENTRE ART/VN DORSALE PÉNIS +ART.
ELGA001;05C18 06C15 07C08 21C05;05 06 07 21;non;ABL. CATHÉ. INTRAVASC. ABD. LAPARO +ABL. SYST.
ELSA001;12C05 12C06 12C07;12;non;LIGATURE/SECTION PÉD. TESTICULAIRE PR
ELSA002;17C06;17;non;LIGATURE DES PÉD. VASC. UT. PR HÉMORR. POST-PARTUM
ELSC001;12C05 12C06 12C07;12;non;LIGATURE/SECTION PÉD. TESTICULAIRE PR
ELSF001;05K12 05K22 05K23 05K24 05K25 05K26;05;non;EMBOL. 1FAV RÉNALE VASC.TRANSCUT.
EMLA001;05C21 10C08 11C09 17C07 21C05;05 10 11 17 21;non;POSE 1DÉRIV. ART.VN FÉM. AB. DIRECT
EMPA001;05C06 05C10 05C11 10C08 17C07 21C05;05 10 17 21;non;LIBÉR. 1ART. +/- 1VN POPLITÉE PIÉGÉE AB. DIRECT
EMSA001;05C18 17C07;05 17;non;FERM. 1FAV TRAUMA MB INF. +RECONSTR. VASC. AB.
EMSA002;05C18;05;non;FERM. 1FAV TRAUMA MB INF. SANS RECONSTR. VASC. AB.
ENAF001;05K05 05K06;05;non;DILAT. INTRALUMINALE 1PONTAGE ART. NON ANAT. DES MB
ENAF002;05K12 05K22 05K23 05K24 05K25 05K26;05;non;DILAT. INTRALUMINALE CATHÉ ART. 1PONTAGE ART. NON
ENCA001;01C05 08C27 17C06;01 08 17;non;EXCL. MALF. ART.VN DURALE RACH. AB. DIRECT
ENFA001;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;THROMBECTOMIE PONTAGE ART. 1MB +RÉFECTION ANAST.
ENFA004;05C06 05C10 05C11 10C08 17C06 21C05;05 10 17 21;non;THROMBECTOMIE PONTAGE ART. MB +RÉFECTION
